x_m,p_over_rho_m2_s2
1.908000,4.098098
1.914000,4.095008
1.920000,4.091918
1.926000,4.088828
1.932000,4.085738
1.938000,4.082648
1.944000,4.079559
1.950000,4.076469
1.956000,4.073379
1.962000,4.070289
1.968000,4.067199
1.974000,4.064109
1.980000,4.061020
1.986000,4.057930
1.992000,4.054840
1.998000,4.051750
2.004000,4.048660
2.010000,4.045570
2.016000,4.042480
2.022000,4.039391
2.028000,4.036301
2.034000,4.033211
2.040000,4.030121
2.046000,4.027031
2.052000,4.023941
2.058000,4.020852
2.064000,4.017762
2.070000,4.014672
2.076000,4.011582
2.082000,4.008492
2.088000,4.005402
2.094000,4.002312
2.100000,3.999223
2.106000,3.996133
2.112000,3.993043
2.118000,3.989953
2.124000,3.986863
2.130000,3.983773
2.136000,3.980684
2.142000,3.977594
2.148000,3.974504
2.154000,3.971414
2.160000,3.968324
2.166000,3.965234
2.172000,3.962145
2.178000,3.959055
2.184000,3.955965
2.190000,3.952875
2.196000,3.949785
2.202000,3.946695
2.208000,3.943605
2.214000,3.940516
2.220000,3.937426
2.226000,3.934336
2.232000,3.931246
2.238000,3.928156
2.244000,3.925066
2.250000,3.921977
2.256000,3.918887
2.262000,3.915797
2.268000,3.912707
2.274000,3.909617
2.280000,3.906527
2.286000,3.903437
2.292000,3.900348
2.298000,3.897258
2.304000,3.894168
2.310000,3.891078
2.316000,3.887988
2.322000,3.884898
2.328000,3.881809
2.334000,3.878719
2.340000,3.875629
2.346000,3.872539
2.352000,3.869449
2.358000,3.866359
2.364000,3.863269
2.370000,3.860180
2.376000,3.857090
2.382000,3.854000
2.388000,3.850910
2.394000,3.847820
2.400000,3.844730
2.406000,3.841641
2.412000,3.838551
2.418000,3.835461
2.424000,3.832371
2.430000,3.829281
2.436000,3.826191
2.442000,3.823101
2.448000,3.820012
2.454000,3.816922
2.460000,3.813832
2.466000,3.810742
2.472000,3.807652
2.478000,3.804562
2.484000,3.801473
2.490000,3.798383
2.496000,3.795293
2.502000,3.792203
2.508000,3.789113
2.514000,3.786023
2.520000,3.782933
2.526000,3.779844
2.532000,3.776754
2.538000,3.773664
2.544000,3.770574
2.550000,3.767484
2.556000,3.764394
2.562000,3.761305
2.568000,3.758215
2.574000,3.755125
2.580000,3.752035
2.586000,3.748945
2.592000,3.745855
2.598000,3.742765
2.604000,3.739676
2.610000,3.736586
2.616000,3.733496
2.622000,3.730406
2.628000,3.727316
2.634000,3.724226
2.640000,3.721137
2.646000,3.718047
2.652000,3.714957
2.658000,3.711867
2.664000,3.708777
2.670000,3.705687
2.676000,3.702598
2.682000,3.699508
2.688000,3.696418
2.694000,3.693328
2.700000,3.690238
2.706000,3.687148
2.712000,3.684058
2.718000,3.680969
2.724000,3.677879
2.730000,3.674789
2.736000,3.671699
2.742000,3.668609
2.748000,3.665519
2.754000,3.662430
2.760000,3.659340
2.766000,3.656250
2.772000,3.653160
2.778000,3.650070
2.784000,3.646980
2.790000,3.643890
2.796000,3.640801
2.802000,3.637711
2.808000,3.634621
2.814000,3.631531
2.820000,3.628441
2.826000,3.625351
2.832000,3.622262
2.838000,3.619172
2.844000,3.616082
2.850000,3.612992
2.856000,3.609902
2.862000,3.606812
2.868000,3.603722
2.874000,3.600633
2.880000,3.597543
2.886000,3.594453
2.892000,3.591363
2.898000,3.588273
2.904000,3.585183
2.910000,3.582094
2.916000,3.579004
2.922000,3.575914
2.928000,3.572824
2.934000,3.569734
2.940000,3.566644
2.946000,3.563554
2.952000,3.560465
2.958000,3.557375
2.964000,3.554285
2.970000,3.551195
2.976000,3.548105
2.982000,3.545015
2.988000,3.541926
2.994000,3.538836
3.000000,3.535746
3.006000,4.285630
3.012000,4.285514
3.018000,4.285398
3.024000,4.285283
3.030000,4.285167
3.036000,4.285051
3.042000,4.284935
3.048000,4.284819
3.054000,4.284703
3.060000,4.284588
3.066000,4.284472
3.072000,4.284356
3.078000,4.284240
3.084000,4.284124
3.090000,4.284009
3.096000,4.283893
3.102000,4.283777
3.108000,4.283661
3.114000,4.283545
3.120000,4.283429
3.126000,4.283314
3.132000,4.283198
3.138000,4.283082
3.144000,4.282966
3.150000,4.282850
3.156000,4.282734
3.162000,4.282619
3.168000,4.282503
3.174000,4.282387
3.180000,4.282271
3.186000,4.282155
3.192000,4.282040
3.198000,4.281924
3.204000,4.281808
3.210000,4.281692
3.216000,4.281576
3.222000,4.281460
3.228000,4.281345
3.234000,4.281229
3.240000,4.281113
3.246000,4.280997
3.252000,4.280881
3.258000,4.280765
3.264000,4.280650
3.270000,4.280534
3.276000,4.280418
3.282000,4.280302
3.288000,4.280186
3.294000,4.280071
3.300000,4.279955
3.306000,4.279839
3.312000,4.279723
3.318000,4.279607
3.324000,4.279491
3.330000,4.279376
3.336000,4.279260
3.342000,4.279144
3.348000,4.279028
3.354000,4.278912
3.360000,4.278796
3.366000,4.278681
3.372000,4.278565
3.378000,4.278449
3.384000,4.278333
3.390000,4.278217
3.396000,4.278102
3.402000,4.277986
3.408000,4.277870
3.414000,4.277754
3.420000,4.277638
3.426000,4.277522
3.432000,4.277407
3.438000,4.277291
3.444000,4.277175
3.450000,4.277059
3.456000,4.276943
3.462000,4.276827
3.468000,4.276712
3.474000,4.276596
3.480000,4.276480
3.486000,4.276364
3.492000,4.276248
3.498000,4.276133
3.504000,4.276017
3.510000,4.275901
3.516000,4.275785
3.522000,4.275669
3.528000,4.275553
3.534000,4.275438
3.540000,4.275322
3.546000,4.275206
3.552000,4.275090
3.558000,4.274974
3.564000,4.274858
3.570000,4.274743
3.576000,4.274627
3.582000,4.274511
3.588000,4.274395
3.594000,4.274279
3.600000,4.274164
3.606000,4.274048
3.612000,4.273932
3.618000,4.273816
3.624000,4.273700
3.630000,4.273584
3.636000,4.273469
3.642000,4.273353
3.648000,4.273237
3.654000,4.273121
3.660000,4.273005
3.666000,4.272889
3.672000,4.272774
3.678000,4.272658
3.684000,4.272542
3.690000,4.272426
3.696000,4.272310
3.702000,4.272195
3.708000,4.272079
3.714000,4.271963
3.720000,4.271847
3.726000,4.271731
3.732000,4.271615
3.738000,4.271500
3.744000,4.271384
3.750000,4.271268
3.756000,4.271152
3.762000,4.271036
3.768000,4.270920
3.774000,4.270805
3.780000,4.270689
3.786000,4.270573
3.792000,4.270457
3.798000,4.270341
3.804000,4.270226
3.810000,4.270110
3.816000,4.269994
3.822000,4.269878
3.828000,4.269762
3.834000,4.269646
3.840000,4.269531
3.846000,4.269415
3.852000,4.269299
3.858000,4.269183
3.864000,4.269067
3.870000,4.268951
3.876000,4.268836
3.882000,4.268720
3.888000,4.268604
3.894000,4.268488
3.900000,4.268372
3.906000,4.268257
3.912000,4.268141
3.918000,4.268025
3.924000,4.267909
3.930000,4.267793
3.936000,4.267677
3.942000,4.267562
3.948000,4.267446
3.954000,4.267330
3.960000,4.267214
3.966000,4.267098
3.972000,4.266982
3.978000,4.266867
3.984000,4.266751
3.990000,4.266635
3.996000,4.266519
4.002000,4.266403
4.008000,4.266288
4.014000,4.266172
4.020000,4.266056
4.026000,4.265940
4.032000,4.265824
4.038000,4.265708
4.044000,4.265593
4.050000,4.265477
4.056000,4.265361
4.062000,4.265245
4.068000,4.265129
4.074000,4.265014
4.080000,4.264898
4.086000,4.264782
4.092000,4.264666
4.098000,4.264550
4.104000,4.264434
4.110000,4.264319
4.116000,4.264203
4.122000,4.264087
4.128000,4.263971
4.134000,4.263855
4.140000,4.263739
4.146000,4.263624
4.152000,4.263508
4.158000,4.263392
4.164000,4.263276
4.170000,4.263160
4.176000,4.263045
4.182000,4.262929
4.188000,4.262813
4.194000,4.262697
4.200000,4.262581
4.206000,4.262465
4.212000,4.262350
4.218000,4.262234
4.224000,4.262118
4.230000,4.262002
4.236000,4.261886
4.242000,4.261770
4.248000,4.261655
4.254000,4.261539
4.260000,4.261423
4.266000,4.261307
4.272000,4.261191
4.278000,4.261076
4.284000,4.260960
4.290000,4.260844
4.296000,4.260728
4.302000,4.260612
4.308000,4.260496
4.314000,4.260381
4.320000,4.260265
4.326000,4.260149
4.332000,4.260033
4.338000,4.259917
4.344000,4.259801
4.350000,4.259686
4.356000,4.259570
4.362000,4.259454
4.368000,4.259338
4.374000,4.259222
4.380000,4.259107
4.386000,4.258991
4.392000,4.258875
4.398000,4.258759
4.404000,4.258643
4.410000,4.258527
4.416000,4.258412
4.422000,4.258296
4.428000,4.258180
4.434000,4.258064
4.440000,4.257948
4.446000,4.257832
4.452000,4.257717
4.458000,4.257601
4.464000,4.257485
4.470000,4.257369
4.476000,4.257253
4.482000,4.257138
4.488000,4.257022
4.494000,4.256906
4.500000,4.256790
4.506000,4.256674
4.512000,4.256558
4.518000,4.256443
4.524000,4.256327
4.530000,4.256211
4.536000,4.256095
4.542000,4.255979
4.548000,4.255863
4.554000,4.255748
4.560000,4.255632
4.566000,4.255516
4.572000,4.255400
4.578000,4.255284
4.584000,4.255169
4.590000,4.255053
4.596000,4.254937
4.602000,4.254821
4.608000,4.254705
4.614000,4.254589
4.620000,4.254474
4.626000,4.254358
4.632000,4.254242
4.638000,4.254126
4.644000,4.254010
4.650000,4.253894
4.656000,4.253779
4.662000,4.253663
4.668000,4.253547
4.674000,4.253431
4.680000,4.253315
4.686000,4.253200
4.692000,4.253084
4.698000,4.252968
4.704000,4.252852
4.710000,4.252736
4.716000,4.252620
4.722000,4.252505
4.728000,4.252389
4.734000,4.252273
4.740000,4.252157
4.746000,4.252041
4.752000,4.251925
4.758000,4.251810
4.764000,4.251694
4.770000,4.251578
4.776000,4.251462
4.782000,4.251346
4.788000,4.251231
4.794000,4.251115
4.800000,4.250999
4.806000,4.250883
4.812000,4.250767
4.818000,4.250651
4.824000,4.250536
4.830000,4.250420
4.836000,4.250304
4.842000,4.250188
4.848000,4.250072
4.854000,4.249956
4.860000,4.249841
4.866000,4.249725
4.872000,4.249609
4.878000,4.249493
4.884000,4.249377
4.890000,4.249262
4.896000,4.249146
4.902000,4.249030
4.908000,4.248914
4.914000,4.248798
4.920000,4.248682
4.926000,4.248567
4.932000,4.248451
4.938000,4.248335
4.944000,4.248219
4.950000,4.248103
4.956000,4.247987
4.962000,4.247872
4.968000,4.247756
4.974000,4.247640
4.980000,4.247524
4.986000,4.247408
4.992000,4.247293
4.998000,4.247177
5.004000,4.247061
5.010000,4.246945
5.016000,4.246829
5.022000,4.246713
5.028000,4.246598
5.034000,4.246482
5.040000,4.246366
5.046000,4.246250
5.052000,4.246134
5.058000,4.246018
5.064000,4.245903
5.070000,4.245787
5.076000,4.245671
5.082000,4.245555
5.088000,4.245439
5.094000,4.245324
5.100000,4.245208
5.106000,4.245092
5.112000,4.244976
5.118000,4.244860
5.124000,4.244744
5.130000,4.244629
5.136000,4.244513
5.142000,4.244397
5.148000,4.244281
5.154000,4.244165
5.160000,4.244049
5.166000,4.243934
5.172000,4.243818
5.178000,4.243702
5.184000,4.243586
5.190000,4.243470
5.196000,4.243355
5.202000,4.243239
5.208000,4.243123
5.214000,4.243007
5.220000,4.242891
5.226000,4.242775
5.232000,4.242660
5.238000,4.242544
