station,x,r,Ux,Ur,Uz,k,epsilon,nut
expansion_4D,2.6,0.0499690416555,0.00711732465969,2.41042120043e-09,2.79817793472e-18,4.7662719837e-06,0.00455723777978,1.49771310729e-11
expansion_4D,2.6,0.0499690169954,0.0071503158107,2.42050254534e-09,2.93265280145e-18,4.78836061816e-06,0.00457836343596,1.5046555568e-11
expansion_4D,2.6,0.0499689911183,0.00718493510719,2.43108141445e-09,3.07376413437e-18,4.81153934828e-06,0.00460053166388,1.51194062296e-11
expansion_4D,2.6,0.0499689639641,0.00722126295309,2.44218237738e-09,3.22183969283e-18,4.83586200705e-06,0.00462379394964,1.51958522547e-11
expansion_4D,2.6,0.0499689354699,0.00725938349822,2.4538311484e-09,3.3772224209e-18,4.8613849355e-06,0.00464820417799,1.52760707229e-11
expansion_4D,2.6,0.0499689055695,0.00729938530728,2.46605479085e-09,3.54027334849e-18,4.88816743053e-06,0.00467381906074,1.5360248004e-11
expansion_4D,2.6,0.0499688741934,0.0073413613598,2.47888171718e-09,3.7113715008e-18,4.91627174493e-06,0.00470069813668,1.54485797585e-11
expansion_4D,2.6,0.049968841269,0.00738540878264,2.49234160714e-09,3.89091271091e-18,4.94576290824e-06,0.00472890360033,1.55412703739e-11
expansion_4D,2.6,0.0499688067197,0.00743163005399,2.50646577572e-09,4.07931474719e-18,4.97670953288e-06,0.00475850107289,1.56385354988e-11
expansion_4D,2.6,0.0499687704654,0.00748013233443,2.52128696877e-09,4.27701435408e-18,5.00918336633e-06,0.0047895591739,1.57406006352e-11
expansion_4D,2.6,0.049968732422,0.00753102813591,2.53683956737e-09,4.484470192e-18,5.04325973893e-06,0.00482214994962,1.58477025462e-11
expansion_4D,2.6,0.0499686925011,0.00758443572307,2.55315971052e-09,4.70216426648e-18,5.07901783266e-06,0.00485634912998,1.59600901004e-11
expansion_4D,2.6,0.0499686506101,0.00764047897945,2.57028525419e-09,4.93060158954e-18,5.11654059153e-06,0.00489223604296,1.60780239904e-11
expansion_4D,2.6,0.0499686066517,0.00769928807642,2.58825597581e-09,5.17031269319e-18,5.15591516945e-06,0.00492989404291,1.62017781407e-11
expansion_4D,2.6,0.049968560524,0.0077609993394,2.6071135333e-09,5.42185331655e-18,5.19723284065e-06,0.00496941042486,1.6331639426e-11
expansion_4D,2.6,0.0499685121199,0.00782575605054,2.62690171044e-09,5.68580745815e-18,5.24058953713e-06,0.00501087693854,1.646790936e-11
