x,r,z,tau_x_over_rho,tau_r_over_rho,tau_z_over_rho,wall_yplus
4.54928691314,0.099939082702,0.0,-0.00188307523428,1.04935074749e-06,9.05003221269e-18,2.09046660622
4.67223329176,0.099939082702,0.0,-0.00175285052872,7.35980527446e-07,-1.11566349252e-17,2.01688809671
4.79517967038,0.099939082702,0.0,-0.00165372580892,5.32507505951e-07,-1.07345967264e-17,1.95903001684
4.918126049,0.099939082702,0.0,-0.00157693545605,3.95248983327e-07,1.21169437843e-17,1.91300578493
5.04107242762,0.099939082702,0.0,-0.00151679414148,2.98584961251e-07,3.26191053586e-17,1.87617194129
5.16401880623,0.099939082702,0.0,-0.00146908525339,2.29402325759e-07,3.08894242899e-17,1.84642983548
5.28696518485,0.099939082702,0.0,-0.00143085924391,1.78117307909e-07,2.1399957094e-17,1.82224917384
5.40991156347,0.099939082702,0.0,-0.0014000862763,1.40472228623e-07,2.1572933479e-17,1.80254743272
5.53285794209,0.099939082702,0.0,-0.00137486935549,1.10868668671e-07,2.94878319056e-17,1.78624084674
5.65580432071,0.099939082702,0.0,-0.00135459633773,8.86768005871e-08,2.31214110131e-17,1.773022502
5.77875069933,0.099939082702,0.0,-0.00133764752717,7.01104766357e-08,2.97317934969e-17,1.76189548778
5.90169707795,0.099939082702,0.0,-0.00132439475756,5.5838870156e-08,3.81496045198e-17,1.75314575131
6.02464345657,0.099939082702,0.0,-0.00131309141124,4.31966702239e-08,3.55861702917e-17,1.74564840865
6.14758983519,0.099939082702,0.0,-0.00130485115356,3.32706063922e-08,3.9757916853e-17,1.74016240842
6.27053621381,0.099939082702,0.0,-0.00129763294106,2.63775238513e-08,6.05089813476e-17,1.73534259319
6.39348259243,0.099939082702,0.0,-0.00129249861184,1.81625284659e-08,5.2382516407e-17,1.73190608454
6.51642897105,0.099939082702,0.0,-0.00128854304895,1.34649516904e-08,4.93447344618e-17,1.72925388876
6.63937534967,0.099939082702,0.0,-0.00128563769811,9.35508151398e-09,4.91214426129e-17,1.72730326495
6.76232172828,0.099939082702,0.0,-0.00128357036717,5.94897146857e-09,1.57041729626e-16,1.72591393673
6.8852681069,0.099939082702,0.0,-0.00128222283266,3.12647001355e-09,1.49091778307e-16,1.72500773738
7.00821448552,0.099939082702,0.0,-0.00128145935597,1.33680616184e-09,1.34882298608e-16,1.72449409752
