x,r,z,tau_x_over_rho,tau_r_over_rho,tau_z_over_rho,wall_yplus
10.7106480776,0.099939082702,0.0,-0.00112181086896,-2.0157940149e-11,1.30763404207e-16,1.07627039843
10.7929723873,0.099939082702,0.0,-0.00112181399877,2.78786460026e-11,1.06258681152e-16,1.07627189982
10.875296697,0.099939082702,0.0,-0.00112180690459,4.02318311997e-11,1.6382331271e-16,1.07626849674
10.9576210067,0.099939082702,0.0,-0.00112179389663,4.79698682739e-11,3.32418961438e-17,1.07626225675
11.0399453163,0.099939082702,0.0,-0.00112178232856,4.45346504369e-11,1.12058795873e-16,1.07625670747
11.1189986338,0.099939082702,0.0,-0.0011217749829,4.19763937305e-11,1.79957708392e-16,1.07625318367
11.1917698995,0.099939082702,0.0,-0.00112175969493,1.09807917442e-10,9.78512994257e-17,1.07624584987
11.258758323,0.099939082702,0.0,-0.00112173454899,1.07586246552e-10,9.87799716897e-17,1.07623378699
11.3204234438,0.099939082702,0.0,-0.00112170701031,1.11578512452e-10,7.41914468517e-17,1.07622057605
11.3771882835,0.099939082702,0.0,-0.00112168454934,1.28917595676e-10,1.15750491477e-16,1.07620980092
11.4294422478,0.099939082702,0.0,-0.00112166101818,1.35556762547e-10,1.09107058418e-16,1.07619851233
11.4775437981,0.099939082702,0.0,-0.00112163808979,9.7967263024e-11,1.00671746445e-16,1.07618751265
11.52182291,0.099939082702,0.0,-0.00112162080049,1.71484936011e-10,1.12343389791e-16,1.07617921824
11.5625833376,0.099939082702,0.0,-0.00112159749178,2.21113333326e-10,1.24669003204e-16,1.07616803598
11.6001046966,0.099939082702,0.0,-0.00112156377616,4.04412421937e-10,5.15815966228e-17,1.07615186052
11.6346443829,0.099939082702,0.0,-0.00112150405488,8.07427107196e-10,1.28526556163e-16,1.07612320761
11.6664393381,0.099939082702,0.0,-0.00112141609663,2.13132109145e-09,1.30202872861e-16,1.07608100444
11.6957076751,0.099939082702,0.0,-0.00112115967217,5.8684632631e-09,1.46687648944e-16,1.07595796155
