0.037641242,1.5434058
0.11201588,0.9446271
0.18459674,0.99863571
0.25542706,1.0597003
0.32454909,1.0519474
0.392004,1.0425717
0.45783203,1.0382995
0.52207239,1.0354284
0.58476339,1.0327185
0.64594238,1.0307028
0.70564585,1.0292745
0.76390937,1.0283085
0.82076768,1.0276458
0.87625466,1.0272527
0.93040339,1.027033
0.98324614,1.0271221
1.0348144,1.0271559
1.085139,1.0275064
1.1342498,1.0278508
1.1821761,1.028271
1.2289465,1.028762
1.2745889,1.0293061
1.3191305,1.0298905
1.3625979,1.0305061
1.4050168,1.0311456
1.4464127,1.0318031
1.4868102,1.0324732
1.5262334,1.0331516
1.5647058,1.0338344
1.6022503,1.0345185
1.6388892,1.0352012
1.6746445,1.0358802
1.7095375,1.0365535
1.7435888,1.0372197
1.776819,1.037877
1.8092476,1.0385247
1.8408942,1.0391615
1.8717775,1.0397869
1.9019159,1.0403999
1.9313275,1.0410004
1.9600297,1.0415876
1.9880396,1.0421614
2.015374,1.0427214
2.0420491,1.0432677
2.0680809,1.0437999
2.0934848,1.0443183
2.1182761,1.0448224
2.1424694,1.0453127
2.1660792,1.0457889
2.1891196,1.0462514
2.2116043,1.0467
2.2335467,1.0471353
2.2549599,1.0475569
2.2758566,1.0479655
2.2962493,1.0483607
2.3161502,1.0487434
2.3355712,1.0491132
2.3545237,1.0494709
2.3730191,1.0498162
2.3910685,1.0501498
2.4086825,1.0504716
2.4258717,1.0507822
2.4426464,1.0510815
2.4590164,1.05137
2.4749917,1.0516479
2.4905816,1.0519155
2.5057956,1.0521731
2.5206426,1.0524209
2.5351315,1.0526593
2.549271,1.0528884
2.5630694,1.0531087
2.5765351,1.0533203
2.589676,1.0535236
2.6025,1.0537188
2.6150146,1.0539063
2.6272275,1.0540862
2.6391457,1.0542589
2.6507766,1.0544245
2.6621269,1.0545835
2.6732035,1.0547358
2.6840129,1.0548821
2.6945616,1.0550222
2.7048559,1.0551566
2.7149019,1.0552854
2.7247057,1.0554089
2.7342729,1.0555273
2.7436095,1.0556408
2.7527208,1.0557498
2.7616124,1.0558541
2.7702896,1.0559541
2.7787574,1.0560499
2.7870211,1.0561418
2.7950854,1.0562298
2.8029552,1.0563142
2.8106353,1.0563952
2.8181301,1.0564727
2.8254441,1.0565472
2.8325818,1.0566184
2.8395473,1.0566869
2.8463447,1.0567525
2.8529783,1.0568157
2.8594519,1.056876
2.8657693,1.0569343
2.8719344,1.05699
2.8779507,1.057044
2.883822,1.0570957
2.8895517,1.0571461
2.8951431,1.0571946
2.9005998,1.0572422
2.9059248,1.0572884
2.9111214,1.0573347
2.9161926,1.0573806
2.9211416,1.0574278
2.9259711,1.0574764
2.9306842,1.0575284
2.9352837,1.0575845
2.9397722,1.057648
2.9441524,1.0577206
2.948427,1.0578073
2.9525985,1.0579121
2.9566694,1.058043
2.9606421,1.0582082
2.964519,1.0584223
2.9683024,1.0587032
2.9719945,1.0590783
2.9755976,1.059593
2.9791138,1.0603091
2.9825452,1.0613498
2.9858939,1.062916
2.9891617,1.0653717
2.9923508,1.0704918
