x,r,z,tau_x_over_rho,tau_r_over_rho,tau_z_over_rho,wall_yplus
4.25633576505,0.099939082702,0.0,-0.0020728817875,2.45754013341e-07,1.07375530879e-17,0.650616976011
4.269978414,0.099939082702,0.0,-0.00204748975717,2.7851179218e-07,1.46342977772e-17,0.646619785084
4.28378908209,0.099939082702,0.0,-0.00200851605991,3.26213737637e-07,1.64767666035e-17,0.64043605678
4.29776983862,0.099939082702,0.0,-0.00197603373483,2.58727538203e-07,1.57318675293e-17,0.635236289735
4.31192277835,0.099939082702,0.0,-0.00195142003509,2.37887149305e-07,1.46142455115e-17,0.631267601992
4.32625002182,0.099939082702,0.0,-0.00191980473588,2.55944443637e-07,1.25662732074e-17,0.626133081479
4.34075371572,0.099939082702,0.0,-0.0018933215048,2.28047193454e-07,1.43068777166e-17,0.62179941013
4.35543603317,0.099939082702,0.0,-0.00186676554797,2.42240547558e-07,1.37384893273e-17,0.617423292282
4.37029917405,0.099939082702,0.0,-0.00183441609581,2.48828682887e-07,1.25924704469e-17,0.612050204876
4.38534536534,0.099939082702,0.0,-0.00180888288325,1.85744426568e-07,1.06355934448e-17,0.607775721523
4.40057686141,0.099939082702,0.0,-0.00179064753958,1.79549463178e-07,1.37710550188e-17,0.604704465794
4.41599594445,0.099939082702,0.0,-0.00176307496352,2.24918584712e-07,1.57184054628e-17,0.600030752629
4.43160492471,0.099939082702,0.0,-0.00173517840809,2.01184771789e-07,1.335193321e-17,0.595264782989
4.44740614093,0.099939082702,0.0,-0.00171415838912,1.75488174361e-07,2.84725951255e-17,0.591648265645
4.46340196064,0.099939082702,0.0,-0.00168971069982,1.81459076947e-07,2.95290785922e-17,0.587414006973
4.4795947805,0.099939082702,0.0,-0.00166829084632,1.61579963485e-07,6.04510280877e-17,0.583678915198
4.49598702672,0.099939082702,0.0,-0.00164834809322,1.67835752711e-07,9.58268846941e-18,0.580179775663
4.51258115539,0.099939082702,0.0,-0.00162286528938,1.85991336981e-07,8.83587080396e-18,0.57567763386
4.52937965284,0.099939082702,0.0,-0.00159971455175,1.49446020191e-07,5.59671742196e-18,0.571556765927
4.54638503601,0.099939082702,0.0,-0.00158403145906,1.25868469917e-07,1.72508428665e-17,0.568748183463
4.56359985284,0.099939082702,0.0,-0.00156457051738,1.51879049205e-07,2.15497065202e-17,0.565243649176
4.58102668268,0.099939082702,0.0,-0.00154190906872,1.51006737253e-07,1.23400454543e-17,0.561135187044
4.59866813662,0.099939082702,0.0,-0.00152346261992,1.34576306259e-07,4.00914672023e-17,0.557768550072
4.61652685789,0.099939082702,0.0,-0.00150342857017,1.35011868503e-07,2.78986863627e-17,0.554088990044
4.63460552233,0.099939082702,0.0,-0.00148526164529,1.18584233945e-07,1.9953620347e-17,0.550731103581
4.65290683867,0.099939082702,0.0,-0.0014699812858,1.14848161792e-07,-4.79001762781e-18,0.547890820129
4.67143354904,0.099939082702,0.0,-0.00145062914267,1.33442436609e-07,6.25592499417e-19,0.544272409841
4.69018842934,0.099939082702,0.0,-0.00143047726238,1.19571413783e-07,1.25768821512e-17,0.54047872245
4.70917428964,0.099939082702,0.0,-0.00141600862189,9.51741171521e-08,1.79573444957e-17,0.537738424548
4.72839397462,0.099939082702,0.0,-0.00140140106834,1.02803042701e-07,1.88336752909e-17,0.53495757674
4.74785036403,0.099939082702,0.0,-0.00138404126628,1.07280455754e-07,3.04614231159e-17,0.531633868741
4.76754637303,0.099939082702,0.0,-0.00136862353989,1.00253236183e-07,3.723026234e-18,0.528664470343
4.78748495271,0.099939082702,0.0,-0.00135217193635,1.00602893524e-07,-4.30778574175e-18,0.525477445671
4.80766909051,0.099939082702,0.0,-0.00133664987971,8.90759212968e-08,2.45377436459e-17,0.522452670506
4.82810181066,0.099939082702,0.0,-0.00132437250256,7.82355489837e-08,4.08794129203e-17,0.520047722548
4.84878617464,0.099939082702,0.0,-0.00131056213303,8.98099719461e-08,1.52683317646e-17,0.517329123935
4.86972528162,0.099939082702,0.0,-0.00129427312409,8.98737104363e-08,4.95739412222e-17,0.514104124154
4.89092226894,0.099939082702,0.0,-0.00128132794862,7.31942063808e-08,2.10165277651e-17,0.511526657348
4.91238031258,0.099939082702,0.0,-0.00126968759682,7.03001235856e-08,1.49774683405e-17,0.509197848101
4.93410262765,0.099939082702,0.0,-0.00125691401853,7.27011837059e-08,5.32888539015e-17,0.506630003733
4.95609246885,0.099939082702,0.0,-0.00124486548358,7.06189651992e-08,3.07276347015e-17,0.504195927974
4.97835313094,0.099939082702,0.0,-0.00123183070153,7.21623524478e-08,-2.70416066769e-17,0.501549305113
5.00088794929,0.099939082702,0.0,-0.00121909404936,6.54821379234e-08,-2.7737708929e-17,0.498949655507
5.02370030033,0.099939082702,0.0,-0.00120907715548,5.35083308139e-08,-1.29578476268e-18,0.496895574929
5.04679360208,0.099939082702,0.0,-0.0011994912646,5.7153356411e-08,2.01359814262e-17,0.49492189335
5.07017131465,0.099939082702,0.0,-0.00118748466154,6.17333141433e-08,-4.56541876172e-18,0.492438642437
5.09383694076,0.099939082702,0.0,-0.00117688413001,5.34208863402e-08,3.52043421744e-18,0.49023574555
5.11779402629,0.099939082702,0.0,-0.00116758200441,4.79615655435e-08,9.7658589763e-18,0.488294483094
5.14204616076,0.099939082702,0.0,-0.00115829695034,4.7956544611e-08,2.7315457823e-17,0.486349056336
5.16659697792,0.099939082702,0.0,-0.00114936573886,4.66890015988e-08,1.37491648515e-18,0.484470396579
5.19145015626,0.099939082702,0.0,-0.00113977916195,4.77291126521e-08,2.0247471645e-17,0.482445741616
5.21660941959,0.099939082702,0.0,-0.00113023158307,4.43768562996e-08,2.0728769003e-17,0.480420842772
5.24207853756,0.099939082702,0.0,-0.00112252215057,3.59277657776e-08,2.22220174638e-17,0.478779537818
5.26786132626,0.099939082702,0.0,-0.00111573350123,3.39423853662e-08,2.07703299503e-17,0.47732959042
5.29396164877,0.099939082702,0.0,-0.00110820805275,3.72049349901e-08,1.80467686518e-17,0.475717109971
5.32038341574,0.099939082702,0.0,-0.00110036495846,3.47838686905e-08,2.22758855243e-17,0.474030730466
