station,x,r,Ux,Ur,Uz,k,epsilon,nut
expansion_4D,2.6,0.049964496,0.032566022,1.4640539e-08,-8.0269717e-15,6.5980104e-05,0.036016214,3.648605e-10
expansion_4D,2.6,0.049964247,0.032922879,1.4799912e-08,-8.4200584e-15,6.6702585e-05,0.036410982,3.688592e-10
expansion_4D,2.6,0.049963986,0.033297346,1.4967151e-08,-8.8325442e-15,6.746072e-05,0.036825231,3.7305523e-10
expansion_4D,2.6,0.049963712,0.033690294,1.5142643e-08,-9.2653863e-15,6.8256269e-05,0.037259924,3.7745834e-10
expansion_4D,2.6,0.049963424,0.034102634,1.5326795e-08,-9.7195891e-15,6.9091079e-05,0.03771607,3.8207875e-10
expansion_4D,2.6,0.049963122,0.034535323,1.5520036e-08,-1.0196207e-14,6.9967087e-05,0.038194726,3.8692717e-10
expansion_4D,2.6,0.049962805,0.034989365,1.5722813e-08,-1.0696346e-14,7.0886326e-05,0.038697004,3.9201487e-10
expansion_4D,2.6,0.049962473,0.035465814,1.5935597e-08,-1.1221168e-14,7.185093e-05,0.03922407,3.9735365e-10
expansion_4D,2.6,0.049962124,0.035965777,1.6158882e-08,-1.1771889e-14,7.2863138e-05,0.039777146,4.0295589e-10
expansion_4D,2.6,0.049961758,0.036490412,1.6393186e-08,-1.2349789e-14,7.3925298e-05,0.040357517,4.0883461e-10
expansion_4D,2.6,0.049961374,0.037040939,1.6639053e-08,-1.2956208e-14,7.5039876e-05,0.040966529,4.1500344e-10
expansion_4D,2.6,0.049960971,0.037618634,1.6897054e-08,-1.3592554e-14,7.6209459e-05,0.041605597,4.2147671e-10
expansion_4D,2.6,0.049960548,0.038224839,1.7167787e-08,-1.4260304e-14,7.7436761e-05,0.042276203,4.2826944e-10
expansion_4D,2.6,0.049960104,0.03886096,1.7451881e-08,-1.4961008e-14,7.8724631e-05,0.042979903,4.3539739e-10
expansion_4D,2.6,0.049959638,0.039528474,1.7749996e-08,-1.5696292e-14,8.0076058e-05,0.043718331,4.4287711e-10
expansion_4D,2.6,0.049959149,0.04022893,1.8062822e-08,-1.6467862e-14,8.1494179e-05,0.044493201,4.5072595e-10
expansion_4D,2.6,0.049958637,0.040963954,1.8391086e-08,-1.7277509e-14,8.2982283e-05,0.04530631,4.5896213e-10
expansion_4D,2.6,0.049958098,0.041735251,1.873555e-08,-1.8127113e-14,8.4543827e-05,0.046159548,4.6760478e-10
expansion_4D,2.6,0.049957534,0.042544612,1.9097014e-08,-1.9018645e-14,8.6182433e-05,0.047054892,4.7667394e-10
expansion_4D,2.6,0.049956941,0.043393915,1.9476316e-08,-1.9954175e-14,8.7901905e-05,0.047994422,4.8619067e-10
expansion_4D,2.6,0.049956319,0.044285132,1.9874337e-08,-2.0935873e-14,8.9706233e-05,0.048980319,4.9617705e-10
expansion_4D,2.6,0.049955667,0.045220331,2.0292e-08,-2.1966018e-14,9.1599605e-05,0.050014869,5.0665626e-10
expansion_4D,2.6,0.049954982,0.046201681,2.0730275e-08,-2.3047001e-14,9.3586416e-05,0.051100475,5.1765263e-10
expansion_4D,2.6,0.049954264,0.047231462,2.1190179e-08,-2.4181331e-14,9.5671278e-05,0.052239656,5.2919167e-10
expansion_4D,2.6,0.04995351,0.048312063,2.1672779e-08,-2.5371641e-14,9.7859027e-05,0.053435056,5.4130016e-10
expansion_4D,2.6,0.049952718,0.049445992,2.2179196e-08,-2.6620693e-14,0.00010015474,0.054689449,5.5400622e-10
expansion_4D,2.6,0.049951888,0.050635881,2.2710604e-08,-2.7931386e-14,0.00010256375,0.056005747,5.6733932e-10
expansion_4D,2.6,0.049951017,0.051884491,2.3268238e-08,-2.9306762e-14,0.00010509165,0.057387005,5.8133041e-10
expansion_4D,2.6,0.049950103,0.05319472,2.3853392e-08,-3.0750014e-14,0.0001077443,0.058836428,5.9601197e-10
expansion_4D,2.6,0.049949144,0.05456961,2.4467422e-08,-3.226449e-14,0.00011052785,0.060357381,6.1141807e-10
expansion_4D,2.6,0.049948137,0.056012351,2.5111756e-08,-3.3853706e-14,0.00011344878,0.061953394,6.2758447e-10
expansion_4D,2.6,0.049947081,0.057526292,2.5787887e-08,-3.5521351e-14,0.00011651385,0.06362817,6.4454868e-10
expansion_4D,2.6,0.049945972,0.059114946,2.6497386e-08,-3.7271294e-14,0.00011973019,0.065385596,6.6235008e-10
expansion_4D,2.6,0.049944809,0.060782,2.7241899e-08,-3.9107597e-14,0.00012310526,0.067229753,6.8102998e-10
expansion_4D,2.6,0.049943588,0.062531325,2.8023154e-08,-4.1034523e-14,0.00012664688,0.069164919,7.0063175e-10
expansion_4D,2.6,0.049942308,0.064366979,2.8842964e-08,-4.3056544e-14,0.00013036329,0.071195586,7.2120087e-10
expansion_4D,2.6,0.049940964,0.066293223,2.9703231e-08,-4.5178351e-14,0.0001342631,0.073326467,7.4278508e-10
expansion_4D,2.6,0.049939553,0.068314528,3.0605954e-08,-4.7404871e-14,0.00013835537,0.075562508,7.6543448e-10
expansion_4D,2.6,0.049938073,0.070435585,3.1553226e-08,-4.974127e-14,0.00014264959,0.077908899,7.8920164e-10
expansion_4D,2.6,0.04993652,0.072661317,3.2547246e-08,-5.219297e-14,0.00014715573,0.080371084,8.1414171e-10
expansion_4D,2.6,0.049934891,0.07499689,3.3590321e-08,-5.4765664e-14,0.00015188426,0.082954779,8.4031258e-10
expansion_4D,2.6,0.049933181,0.077447724,3.4684872e-08,-5.746532e-14,0.00015684614,0.08566598,8.6777499e-10
expansion_4D,2.6,0.049931386,0.080019507,3.583344e-08,-6.0298206e-14,0.00016205288,0.08851098,8.9659269e-10
expansion_4D,2.6,0.049929503,0.082718209,3.7038691e-08,-6.3270895e-14,0.00016751659,0.091496382,9.2683254e-10
expansion_4D,2.6,0.049927528,0.085550092,3.830342e-08,-6.6390287e-14,0.00017324993,0.094629114,9.5856474e-10
