station,x,r,Ux,Ur,Uz,k,epsilon,nut
expansion_4D,2.6,0.0499690416555,0.0259978223624,1.12609824284e-08,1.88556976189e-18,5.25484291757e-05,0.028649030061,2.90803475774e-10
expansion_4D,2.6,0.0499690169954,0.0260330940672,1.12762495152e-08,1.97861791845e-18,5.26196655719e-05,0.0286879153446,2.91198129714e-10
expansion_4D,2.6,0.0499689911183,0.0260701064652,1.12922700477e-08,2.07625806646e-18,5.26944175537e-05,0.0287287196549,2.9161226021e-10
expansion_4D,2.6,0.0499689639641,0.026108945518,1.13090812337e-08,2.1787170803e-18,5.2772858734e-05,0.0287715377606,2.92046829089e-10
expansion_4D,2.6,0.0499689354699,0.0261497011927,1.13267220148e-08,2.2862321667e-18,5.28551708138e-05,0.0288164688455,2.92502842986e-10
expansion_4D,2.6,0.0499689055695,0.026192468176,1.13452333754e-08,2.39905313915e-18,5.29415450272e-05,0.0288636172972,2.92981361348e-10
expansion_4D,2.6,0.0499688741934,0.0262373458747,1.13646583429e-08,2.51744228859e-18,5.3032182141e-05,0.0289130927068,2.93483496436e-10
expansion_4D,2.6,0.049968841269,0.0262844381298,1.13850418642e-08,2.64167349964e-18,5.3127291877e-05,0.0289650095535,2.94010410122e-10
expansion_4D,2.6,0.0499688067197,0.0263338545034,1.14064313623e-08,2.7720359049e-18,5.32270955121e-05,0.0290194886241,2.94563328292e-10
expansion_4D,2.6,0.0499687704654,0.0263857095635,1.14288764273e-08,2.90883158474e-18,5.33318244336e-05,0.0290766562243,2.95143532846e-10
expansion_4D,2.6,0.049968732422,0.0264401235999,1.14524291254e-08,3.05237797094e-18,5.34417215839e-05,0.0291366449672,2.957523697e-10
expansion_4D,2.6,0.0499686925011,0.0264972230521,1.14771441852e-08,3.20300859096e-18,5.35570423266e-05,0.0291995942463,2.96391253584e-10
expansion_4D,2.6,0.0499686506101,0.0265571403675,1.15030789354e-08,3.36107292313e-18,5.36780541583e-05,0.029265650078,2.97061666445e-10
expansion_4D,2.6,0.0499686066517,0.0266200147156,1.15302936145e-08,3.52693789569e-18,5.38050381526e-05,0.0293349658899,2.97765165447e-10
expansion_4D,2.6,0.049968560524,0.0266859918455,1.1558851309e-08,3.7009881814e-18,5.39382886711e-05,0.0294077023628,2.98503381373e-10
expansion_4D,2.6,0.0499685121199,0.0267552249438,1.15888183244e-08,3.88362781532e-18,5.40781150969e-05,0.0294840283776,2.99278028222e-10
expansion_4D,2.6,0.049968461327,0.0268278747781,1.16202642477e-08,4.07528101158e-18,5.42248421235e-05,0.0295641211721,3.00090904816e-10
expansion_4D,2.6,0.0499684080274,0.0269041099824,1.16532620709e-08,4.27639247858e-18,5.43788103321e-05,0.029648166657,3.00943897997e-10
expansion_4D,2.6,0.0499683520976,0.0269841072005,1.1687888253e-08,4.48742828737e-18,5.4540376481e-05,0.0297363595733,3.01838984226e-10
expansion_4D,2.6,0.0499682934075,0.0270680525164,1.17242233389e-08,4.70887941233e-18,5.47099163943e-05,0.0298289050692,3.02778245591e-10
expansion_4D,2.6,0.0499682318211,0.027156140453,1.17623515264e-08,4.94125885729e-18,5.48878229392e-05,0.0299260175963,3.03763858602e-10
expansion_4D,2.6,0.0499681671954,0.0272485755452,1.18023613468e-08,5.18510634879e-18,5.50745092044e-05,0.0300279226443,3.04798111793e-10
expansion_4D,2.6,0.0499680993803,0.0273455724833,1.18443457272e-08,5.44098806727e-18,5.52704087883e-05,0.0301348568982,3.05883407327e-10
expansion_4D,2.6,0.0499680282186,0.0274473561127,1.18884019902e-08,5.70949729328e-18,5.54759757995e-05,0.0302470682391,3.07022260992e-10
expansion_4D,2.6,0.049967953545,0.0275541628645,1.19346324732e-08,5.99125776706e-18,5.56916877453e-05,0.0303648173202,3.08217318208e-10
expansion_4D,2.6,0.0499678751863,0.0276662404693,1.19831444045e-08,6.28692290819e-18,5.59180449537e-05,0.0304883772519,3.09471350822e-10
expansion_4D,2.6,0.0499677929605,0.0277838492442,1.20340504603e-08,6.59717954734e-18,5.6155573174e-05,0.0306180350211,3.10787271517e-10
expansion_4D,2.6,0.0499677066769,0.0279072619503,1.20874687032e-08,6.92274713557e-18,5.6404823287e-05,0.0307540913329,3.12168132207e-10
expansion_4D,2.6,0.0499676161351,0.0280367652227,1.2143523201e-08,7.26438193095e-18,5.66663741945e-05,0.0308968621884,3.13617140041e-10
expansion_4D,2.6,0.0499675211251,0.0281726594275,1.22023439649e-08,7.62287625946e-18,5.694083253e-05,0.0310466787258,3.15137655806e-10
expansion_4D,2.6,0.0499674214263,0.0283152600921,1.22640675684e-08,7.99906244329e-18,5.72288355476e-05,0.0312038887985,3.16733209929e-10
expansion_4D,2.6,0.0499673168073,0.0284648981913,1.23288372715e-08,8.39381368473e-18,5.75310516996e-05,0.0313688572896,3.18407505675e-10
expansion_4D,2.6,0.0499672070254,0.0286219208626,1.239680333e-08,8.80804566846e-18,5.78481820811e-05,0.0315419669005,3.20164427154e-10
expansion_4D,2.6,0.0499670918256,0.0287866928362,1.24681236145e-08,9.24272069659e-18,5.81809633185e-05,0.0317236197281,3.2200805532e-10
expansion_4D,2.6,0.0499669709408,0.0289595961492,1.25429634868e-08,9.69884649471e-18,5.85301669917e-05,0.0319142369492,3.23942664773e-10
expansion_4D,2.6,0.0499668440902,0.0291410324339,1.26214967906e-08,1.01774826625e-17,5.88966042566e-05,0.0321142613431,3.25972749366e-10
expansion_4D,2.6,0.0499667109795,0.0293314226321,1.2703905727e-08,1.06797395831e-17,5.92811252666e-05,0.032324156977,3.28103019e-10
expansion_4D,2.6,0.0499665712997,0.0295312087108,1.27903815983e-08,1.12067831062e-17,5.96846226397e-05,0.0325444110975,3.30338418831e-10
expansion_4D,2.6,0.0499664247267,0.0297408542353,1.28811250549e-08,1.17598363156e-17,6.01080326135e-05,0.0327755347618,3.32684135674e-10
expansion_4D,2.6,0.0499662709203,0.0299608457985,1.29763467151e-08,1.23401828114e-17,6.05523379344e-05,0.0330180644144,3.35145614003e-10
expansion_4D,2.6,0.0499661095235,0.0301916940228,1.30762675977e-08,1.29491696099e-17,6.10185698793e-05,0.0332725629907,3.37728567154e-10
expansion_4D,2.6,0.0499659401617,0.0304339347041,1.3181119618e-08,1.35882100843e-17,6.15078105669e-05,0.0335396211788,3.4043899013e-10
expansion_4D,2.6,0.0499657624418,0.0306881300991,1.32911461443e-08,1.42587876195e-17,6.20211955573e-05,0.0338198588386,3.43283174003e-10
expansion_4D,2.6,0.0499655759514,0.0309548700698,1.34066024939e-08,1.49624582685e-17,6.25599161633e-05,0.0341139262631,3.46267718717e-10
expansion_4D,2.6,0.0499653802576,0.0312347737992,1.35277566756e-08,1.57008554095e-17,6.31252229165e-05,0.0344225060707,3.49399552293e-10
expansion_4D,2.6,0.0499651749063,0.0315284907933,1.36548898228e-08,1.64756924908e-17,6.37184275897e-05,0.0347463143091,3.52685942032e-10
expansion_4D,2.6,0.0499649594209,0.0318367027402,1.37882969992e-08,1.72887678066e-17,6.4340906952e-05,0.0350861025052,3.56134515318e-10
expansion_4D,2.6,0.0499647333011,0.0321601252263,1.39282879407e-08,1.81419692315e-17,6.49941062356e-05,0.0354426595569,3.59753278825e-10
expansion_4D,2.6,0.0499644960223,0.0324995085948,1.40751874277e-08,1.9037275968e-17,6.56795408688e-05,0.0358168126801,3.63550628116e-10
expansion_4D,2.6,0.0499642470337,0.032855640663,1.42293364609e-08,1.99767665162e-17,6.63988019647e-05,0.0362094304038,3.67535378055e-10
expansion_4D,2.6,0.0499639857574,0.0332293480098,1.43910928186e-08,2.09626212431e-17,6.71535589209e-05,0.0366214239896,3.71716777205e-10
expansion_4D,2.6,0.049963711587,0.033621497978,1.45608319234e-08,2.19971284403e-17,6.79455634639e-05,0.0370537496396,3.76104530237e-10
expansion_4D,2.6,0.0499634238863,0.034033000534,1.47389476474e-08,2.30826885058e-17,6.87766534045e-05,0.0375074105458,3.80708818734e-10
expansion_4D,2.6,0.0499631219874,0.0344648109849,1.49258534878e-08,2.42218216812e-17,6.9648758126e-05,0.0379834598866,3.85540331595e-10
expansion_4D,2.6,0.0499628051897,0.0349179314092,1.51219831868e-08,2.54171713086e-17,7.05639014734e-05,0.0384830024031,3.90610281046e-10
expansion_4D,2.6,0.0499624727579,0.0353934135175,1.53277919691e-08,2.66715119708e-17,7.15242075307e-05,0.0390071975533,3.95930434638e-10
expansion_4D,2.6,0.0499621239205,0.0358923607975,1.55437574709e-08,2.79877546611e-17,7.25319049538e-05,0.0395572618771,4.01513139261e-10
expansion_4D,2.6,0.0499617578679,0.036415931232,1.57703809162e-08,2.93689542097e-17,7.35893324594e-05,0.0401344719926,4.07371351547e-10
expansion_4D,2.6,0.0499613737505,0.0369653400165,1.6008188293e-08,3.08183164281e-17,7.46989443134e-05,0.0407401675915,4.13518668276e-10
expansion_4D,2.6,0.0499609706767,0.0375418624196,1.62577315916e-08,3.23392053702e-17,7.58633161084e-05,0.0413757545935,4.19969358387e-10
expansion_4D,2.6,0.0499605477112,0.0381468362147,1.6519589857e-08,3.39351502647e-17,7.70851496745e-05,0.0420427078266,4.26738390183e-10
expansion_4D,2.6,0.0499601038721,0.0387816658279,1.67943709841e-08,3.56098558881e-17,7.83672814567e-05,0.0427425756001,4.33841477741e-10
expansion_4D,2.6,0.0499596381295,0.0394478243402,1.70827125848e-08,3.73672085196e-17,7.9712686559e-05,0.0434769819119,4.41295103316e-10
expansion_4D,2.6,0.0499591494022,0.0401468582081,1.7385284031e-08,3.92112875914e-17,8.11244882776e-05,0.0442476316525,4.49116570157e-10
expansion_4D,2.6,0.0499586365562,0.0408803894085,1.77027873828e-08,4.11463719428e-17,8.26059624334e-05,0.04505631297,4.57324026511e-10
expansion_4D,2.6,0.049958098401,0.041650120731,1.80359596797e-08,4.31769538075e-17,8.41605480606e-05,0.0459049031046,4.65936524836e-10
expansion_4D,2.6,0.0499575336877,0.0424578384958,1.83855741167e-08,4.53077452587e-17,8.57918528955e-05,0.0467953713845,4.74974052207e-10
expansion_4D,2.6,0.0499569411056,0.0433054174164,1.87524421492e-08,4.75436920459e-17,8.75036631979e-05,0.0477297845872,4.84457584733e-10
expansion_4D,2.6,0.0499563192793,0.0441948247478,1.91374152883e-08,4.98899839174e-17,8.92999521283e-05,0.0487103115125,4.94409133964e-10
expansion_4D,2.6,0.0499556667658,0.045128124434,1.95413868964e-08,5.23520655363e-17,9.11848881257e-05,0.0497392275553,5.04851793304e-10
expansion_4D,2.6,0.0499549820505,0.0461074828299,1.99652946636e-08,5.49356517549e-17,9.31628464622e-05,0.0508189210128,5.15809802023e-10
expansion_4D,2.6,0.0499542635442,0.0471351729917,2.04101224649e-08,5.76467392182e-17,9.52384179089e-05,0.0519518978155,5.27308593273e-10
expansion_4D,2.6,0.0499535095795,0.0482135798262,2.08769025887e-08,6.04916191723e-17,9.74164191362e-05,0.0531407872032,5.39374851697e-10
expansion_4D,2.6,0.0499527184063,0.0493452065271,2.13667185234e-08,6.3476895323e-17,9.97019057122e-05,0.0543883488217,5.52036585448e-10
expansion_4D,2.6,0.0499518881885,0.0505326792955,2.1880707e-08,6.66094955889e-17,0.000102100181636,0.0556974779254,5.65323179002e-10
expansion_4D,2.6,0.0499510169992,0.0517787542049,2.24200609635e-08,6.98966906531e-17,0.000104616813203,0.057071212947,5.79265469974e-10
expansion_4D,2.6,0.0499501028163,0.0530863234947,2.29860322978e-08,7.33461102803e-17,0.000107257641717,0.0585127424355,5.93895819536e-10
expansion_4D,2.6,0.0499491435183,0.0544584215776,2.35799344252e-08,7.69657594494e-17,0.00011002879562,0.0600254116783,6.09248179631e-10
