mesh,step,x_m,p_up_over_rho,p_down_over_rho,dp_down_minus_up_over_rho,loss_m2_s2,U_ref_m_s,K_sim,K_analytical,fit_up_start_m,fit_up_end_m,fit_down_start_m,fit_down_end_m
coarse,expansion,3.0,4.506520277686865,5.309824375847057,0.8033040981601927,1.0716959018398073,2.0,0.5358479509199037,0.5625,1.8015013,2.6922435,4.0033361,8.3969975
coarse,contraction,9.0,5.130540662935243,1.7821684975821483,-3.3483721653530942,1.4733721653530942,2.0,0.7366860826765471,0.375,4.0033361,8.3969975,10.00834,11.69975
medium,expansion,3.0,4.314609947475009,5.121040896063108,0.8064309485880994,1.0685690514119006,2.0,0.5342845257059503,0.5625,1.8015013,2.6922435,4.0033361,8.3969975
medium,contraction,9.0,4.9759773475364835,1.6448524792013064,-3.331124868335177,1.456124868335177,2.0,0.7280624341675885,0.375,4.0033361,8.3969975,10.00834,11.69975
fine,expansion,3.0,4.116046483171151,4.922022381460488,0.8059758982893372,1.0690241017106628,2.0,0.5345120508553314,0.5625,1.8015013,2.6922435,4.0033361,8.3969975
fine,contraction,9.0,4.868360544836444,1.5679331565859185,-3.300427388250526,1.425427388250526,2.0,0.712713694125263,0.375,4.0033361,8.3969975,10.00834,11.69975
