mesh,step,x_m,p_up_over_rho,p_down_over_rho,dp_down_minus_up_over_rho,loss_m2_s2,U_ref_m_s,K_sim,K_analytical,fit_up_start_m,fit_up_end_m,fit_down_start_m,fit_down_end_m
coarse,expansion,3.0,4.524224516651742,5.313835545241283,0.7896110285895412,1.0853889714104588,2.0,0.5426944857052294,0.5625,1.80150125104,2.68974145121,4.00333611343,11.3969974979
coarse,contraction,12.0,5.048200258299215,2.00079072871228,-3.0474095295869352,1.1724095295869352,2.0,0.5862047647934676,0.375,4.00333611343,11.3969974979,13.0108423686,14.6997497915
medium,expansion,3.0,4.295748038130684,5.0866785884326635,0.7909305503019795,1.0840694496980205,2.0,0.5420347248490103,0.5625,1.80150125104,2.68974145121,4.00333611343,11.3969974979
medium,contraction,12.0,4.867008306283004,1.7775771151360251,-3.0894311911469785,1.2144311911469785,2.0,0.6072155955734893,0.375,4.00333611343,11.3969974979,13.0108423686,14.6997497915
fine,expansion,3.0,4.1725993797506575,4.951646441612882,0.779047061862224,1.095952938137776,2.0,0.547976469068888,0.5625,1.80150125104,2.68974145121,4.00333611343,11.3969974979
fine,contraction,12.0,4.759382251332346,1.6886746861798976,-3.070707565152448,1.195707565152448,2.0,0.597853782576224,0.375,4.00333611343,11.3969974979,13.0108423686,14.6997497915
