station,x,r,Ux,Ur,Uz,k,epsilon,nut,wall_distance,r_over_R,U_over_Ubulk,yplus,uplus,nut_over_nu,u_tau,below_first_cell,mesh
expansion_4D,2.6,4.9969541351e-08,2.50282115991,2.11405445512e-09,-1.58484893216e-19,0.0145471667455,0.0372882164985,0.00049951410351,0.04996949138145865,1e-06,1.251410579955,592.8067101848952,21.097045332102876,49.95141035099999,0.11863372906070008,False,coarse
expansion_4D,2.6,0.00235003804819,2.50282082274,9.94382830521e-05,1.05358222567e-15,0.0145475766287,0.0372896427107,0.000499523197152,0.04761950330281,0.047029410009643224,1.25141041137,564.9279252830673,21.097042489993786,49.9523197152,0.11863372906070008,False,coarse
expansion_4D,2.6,0.00458955519348,2.49791169688,0.000212217543764,1.17028368768e-15,0.0149780175866,0.0394503071278,0.000501440613746,0.04537998615752,0.09184705461356317,1.24895584844,538.3596982589547,21.055661966100043,50.1440613746,0.11863372906070008,False,coarse
expansion_4D,2.6,0.00672374916872,2.48919644774,0.000319512725934,3.67908780223e-15,0.0157431165237,0.0432851912215,0.000504900810671,0.04324579218228,0.13455695183372826,1.24459822387,513.0409592767948,20.982198464539362,50.4900810671,0.11863372906070008,False,coarse
expansion_4D,2.6,0.00875757326046,2.47911989784,0.000394531802883,4.39170034081e-15,0.0165728237866,0.0476702641105,0.000508694948684,0.04121196809054,0.17525822778609,1.23955994892,488.91294565113395,20.897260142362505,50.8694948684,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0106957478051,2.46474010187,0.000444371017233,1.72688153203e-15,0.0176961360875,0.0538692153149,0.000514043111001,0.0392737935459,0.21404534674373102,1.232370050935,465.9196582710171,20.77604844241971,51.404311100099996,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0125427711444,2.4511810065,0.000490475974223,8.22933708738e-16,0.0187483538176,0.0597184461868,0.000518966684031,0.0374267702066,0.2510083303806228,1.22559050325,444.0077316306865,20.661754678939833,51.896668403099994,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0143029300658,2.43369008167,0.00052547289402,4.99111533563e-16,0.0199633889779,0.0673441519041,0.000523653070447,0.0356666112852,0.2862329667053021,1.216845040835,423.1263099721724,20.514318321940124,52.365307044699996,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0159803097516,2.41702842301,0.000558974791433,1.6752896767e-16,0.0211212078466,0.0746080305452,0.000528144922805,0.0339892315994,0.3198010091657605,1.208514211505,403.22692925446046,20.373872103213618,52.81449228049999,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0175788032604,2.39911945439,0.000576326494538,-1.18978602755e-16,0.0222617413205,0.082573794025,0.000530811704076,0.0323907380906,0.35179036639383143,1.199559727195,384.2634046716338,20.22291192720131,53.0811704076,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0191021205626,2.3808612199,0.000586395151972,-1.5077442451099999e-15,0.0233827349653,0.0907591473369,0.000532740824301,0.030867420788399998,0.3822752830253409,1.19043060995,366.1917234613666,20.0690076823077,53.2740824301,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0205537971508,2.36273504916,0.000592776147317,-2.31624931653e-15,0.0244543215872,0.0990085378238,0.000533577100676,0.0294157442002,0.411326512013076,1.18136752458,348.9699427565386,19.9162166431697,53.357710067599996,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0219372022455,2.34378064782,0.000590827721641,-2.43518910218e-15,0.0254810335653,0.107919570241,0.000532151897503,0.028032339105499997,0.4390114788408197,1.17189032391,332.5580922379554,19.75644419489488,53.2151897503,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0232555466148,2.32543178143,0.000589118577815,-4.6660986619e-15,0.0264747406618,0.116546393213,0.000530756617223,0.026713994736199998,0.46539443801267966,1.162715890715,316.9180813663319,19.601775985985995,53.0756617223,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0245118900263,2.30647356052,0.00057941423581,-3.06246074663e-15,0.0273957220505,0.126015698432,0.000526467082571,0.0254576513247,0.49053662218193367,1.15323678026,302.0136109776232,19.441971341386992,52.6467082571,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0257091483483,2.28791050747,0.000569174639001,-3.4000638970899998e-15,0.0282856467538,0.135351077054,0.000521977960834,0.024260393002699998,0.5144963842615999,1.143955253735,287.8100890388415,19.285497687587387,52.19779608339999,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0268501003178,2.26931649084,0.000556745762777,-3.69186590122e-15,0.0291294780255,0.14509753718,0.000516158503112,0.0231194410332,0.537329332866944,1.13465824542,274.274550356748,19.1287630322982,51.6158503112,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0279373939894,2.25057962326,0.000541842451133,-2.84713313374e-15,0.0299275042576,0.155359988292,0.000508927612687,0.0220321473616,0.5590884613720977,1.12528981163,261.3755800721472,18.970824242644095,50.8927612687,0.11863372906070008,False,coarse
expansion_4D,2.6,0.028973552881,2.23230832768,0.000527357843684,-4.7974039831199996e-15,0.0307031396258,0.165397323233,0.000501791700915,0.02099598847,0.5798242708989798,1.11615416384,249.08324075115627,18.81680990182664,50.1791700915,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0299609818313,2.21375996699,0.0005096894624,-2.8760294530599998e-15,0.0314079393092,0.176627802907,0.000492457105968,0.0200085595197,0.5995848875387049,1.106879983495,237.36900289549808,18.66046009442482,49.245710596799995,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0309019725807,2.19565303953,0.000492614437459,-3.95303760404e-15,0.0320962028702,0.187588944766,0.000483364012554,0.0190675687703,0.6184161740376186,1.097826519765,226.20567873420362,18.507831262781707,48.3364012554,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0317987090903,2.17753550439,0.0004748066206,-3.36790121941e-15,0.0327441358049,0.199292755355,0.000473323809478,0.0181708322607,0.6363618362421418,1.088767752195,215.56735912233123,18.355113015758306,47.3323809478,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0326532726109,2.15938026742,0.000456526773103,-3.36117842811e-15,0.0333628642646,0.211579198272,0.000462608000413,0.017316268740099998,0.6534635245405657,1.07969013371,205.42935340552933,18.20207696847439,46.2608000413,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0334676465133,2.14158852683,0.000438681054684,-5.762349229299999e-15,0.0339639242387,0.223750802184,0.000451991123167,0.016501894837699996,0.6697609305279374,1.070794263415,195.76813211638662,18.052104943394607,45.199112316699996,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0342437208916,2.12366027807,0.00042035266859,-3.40319419789e-15,0.0345138666092,0.23743689094,0.000440279246071,0.0157258204594,0.6852918791281783,1.061830139035,186.56127236376733,17.90098224918319,44.0279246071,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0349832969497,2.10613068312,0.00040255731761,-4.09359499419e-15,0.0350517009505,0.250816439192,0.000428838363184,0.014986244401299996,0.7000924163775601,1.05306534156,177.7874057941257,17.753219929910305,42.88383631839999,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0356880911821,2.08857882197,0.000384964654234,-3.4744800447399997e-15,0.0355604232134,0.265253729923,0.000416970425262,0.0142814501689,0.7141968930916714,1.044289410985,169.4261689931172,17.60526992202495,41.69704252619999,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0363597393577,2.07097299624,0.000367560644517,-3.5099890827899997e-15,0.0360487940043,0.280506786378,0.000404800623986,0.013609801993300003,0.7276380445899842,1.03548649812,161.45815622429282,17.456865030183508,40.4800623986,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0369998003158,2.05371893154,0.000350621479353,-6.1231202937e-15,0.0365256826214,0.295534051725,0.000392848216551,0.012969741035200003,0.7404470666621308,1.02685946577,153.86487439573608,17.311425239690436,39.2848216551,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0376097595846,2.03632122261,0.000334254062623,-3.5298989827799997e-15,0.0369635521314,0.312732708106,0.000380490445471,0.0123597817664,0.752653687982016,1.018160611305,146.62870013244782,17.16477462803261,38.049044547099996,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0381910328289,2.01931182283,0.000318339138327,-3.6659713319199995e-15,0.0373917452361,0.329543713076,0.000368417938645,0.011778508522100002,0.7642862391038479,1.009655911415,139.73283887499585,17.021397193009083,36.8417938645,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0387449691355,2.00219279665,0.000302875397754,-4.04941499144e-15,0.0378047819796,0.347605803137,0.000356240189234,0.011224572215500002,0.7753717182101898,1.001096398325,133.16128590358892,16.877095683518125,35.6240189234,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0392728541444,1.98501756338,0.000287958664491,-3.84034332169e-15,0.0381986086519,0.367044795516,0.000344025620587,0.010696687206599997,0.7859358537741324,0.99250878169,126.89878919148408,16.732320387268167,34.4025620587,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0397759130328,1.96822008403,0.000273441774562,-6.25834761004e-15,0.0385837294405,0.386058916801,0.000332074937505,0.010193628318199997,0.7960031642756713,0.984110042015,120.9308140046818,16.5907292943893,33.20749375049999,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0402553133585,1.95126413245,0.000259802141039,-3.95562549903e-15,0.0389438494773,0.407697697731,0.000320194381658,0.009714227992499998,0.8055970151043703,0.975632066225,115.24350916961131,16.447802390596834,32.0194381658,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0407121677697,1.934486507,0.000246534878934,-3.70901300963e-15,0.0392955082348,0.429507846064,0.00030847786921,0.0092573735813,0.8147396727883968,0.9672432535,109.82367492576269,16.30637865231566,30.847786921,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0411475365874,1.91778382186,0.000233655349307,-5.51348293099e-15,0.0396395837914,0.451900589425,0.000296887925848,0.008822004763599997,0.8234523566740032,0.95889191093,104.65873228971275,16.16558660883658,29.688792584799998,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0415624302666,1.90091716196,0.000221644958057,-3.63387648832e-15,0.0399637219199,0.477152827768,0.000285512264777,0.008407111084399996,0.8317552881795311,0.95045858098,99.73669385699174,16.023412371934945,28.5512264777,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0419578117407,1.88446089551,0.000209970161308,-4.03559721779e-15,0.0402799891353,0.501788051017,0.000274415703359,0.0080117296103,0.8396677377119919,0.942230447755,95.04613598959183,15.884697466989321,27.4415703359,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0423345986575,1.86782493686,0.000198850775143,-4.07227528922e-15,0.0405867566199,0.528620629166,0.000263466302199,0.007634942693499999,0.8472080694143251,0.93391246843,90.57617228946505,15.744467881510404,26.346630219899996,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0426936655078,1.85104097928,0.000188286220095,-3.4890088214699998e-15,0.0408832737738,0.557618116143,0.000252702619087,0.007275875843199997,0.8543937837633486,0.92552048964,86.31642834614811,15.602990767768054,25.270261908699997,0.11863372906070008,False,coarse
expansion_4D,2.6,0.043035845656,1.83467690196,0.000178025840713,-4.94450955331e-15,0.0411723668295,0.58589253378,0.000242206775493,0.006933695694999999,0.8612415582065125,0.91733845098,82.25701764699723,15.465052953205829,24.220677549299996,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0433619332737,1.81808165865,0.000168548176781,-3.3957641792199998e-15,0.041448235445,0.617895756435,0.00023205089617,0.006607608077300001,0.8677672858574723,0.909040829325,78.38851863817015,15.325166569785235,23.205089617,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0436726851832,1.80142867237,0.000159386939646,-3.28577399303e-15,0.0417190237658,0.651163450425,0.000222035079884,0.0062968561678,0.8739861123885624,0.900714336185,74.70195285449833,15.184793453203193,22.2035079884,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0439688226137,1.78511111835,0.000150454258963,-5.44480634344e-15,0.0419843558254,0.683766375294,0.000212218844258,0.006000718737300001,0.8799124711762055,0.892555559175,71.18876408503145,15.047247797771162,21.2218844258,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0442510328755,1.76841505362,0.000142392701534,-3.2458376828599998e-15,0.042235887287,0.721938569931,0.000202859576647,0.005718508475499998,0.8855601168053235,0.88420752681,67.84079851137837,14.90651155975358,20.2859576647,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0445199709553,1.75185958609,0.000134528794808,-3.28159612643e-15,0.0424833788599,0.760242945388,0.000193646874864,0.005449570395700001,0.8909421569947841,0.875929793045,64.65028578206861,14.766960458552594,19.364687486399998,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0447762610358,1.73553893579,0.00012682208141,-5.871058816e-15,0.0427273677635,0.79801100412,0.000184563097786,0.0051932803151999996,0.8960710830079278,0.867769467895,61.609820984970376,14.629388703629091,18.456309778599998,0.11863372906070008,False,coarse
expansion_4D,2.6,0.045020497945,1.71869222178,0.00011998268851,-3.2665594991799997e-15,0.042957603775,0.843211500141,0.000176008343506,0.004949043405999998,0.9009587986562346,0.85934611089,58.7123474537048,14.48738259673701,17.6008343506,0.11863372906070008,False,coarse
expansion_4D,2.6,0.0452532485365,1.70209568015,0.00011326625997,-3.18957733777e-15,0.0431844043486,0.887733409383,0.000167581810794,0.004716292814499999,0.9056166479221524,0.851047840075,55.95114039263195,14.347485269379895,16.7581810794,0.11863372906070008,False,coarse
