x [m],p_coarse/rho [m2/s2],p_medium/rho [m2/s2],p_fine/rho [m2/s2],p_local,p_average,grid trend,order status,GCI absolute [m2/s2],GCI relative [%],lower/rho [m2/s2],upper/rho [m2/s2]
0.0,6.61395647371,6.17081628021,5.94170456329,1.6661130795894805,1.611553950700987,Monotonic convergence,Included,0.3116549415475195,5.24521100347258,5.63004962174248,6.25335950483752
0.0125104253545,6.59987949878,6.15297952036,5.92019298683,1.647542738097831,1.611553950700987,Monotonic convergence,Included,0.31665370272474513,5.3487057504572855,5.6035392841052545,6.236846689554746
0.0250208507089,6.58357098507,6.13236218674,5.89545075808,1.6277146937481701,1.611553950700987,Monotonic convergence,Included,0.3222646944623645,5.466328321387218,5.573186063617635,6.217715452542365
0.0375312760634,6.56726247137,6.11174485311,5.87070852933,1.6084143717275103,1.611553950700987,Monotonic convergence,Included,0.32787568618638113,5.584942337851003,5.542832843143619,6.198584215516381
0.0500417014178,6.55095395767,6.09112751949,5.84293688872,1.5590648936058222,1.611553950700987,Monotonic convergence,Included,0.3376075111526261,5.77804480148313,5.5053293775673735,6.180544399872626
0.0625521267723,6.53464544397,6.07051018586,5.81327670028,1.493233790997139,1.611553950700987,Monotonic convergence,Included,0.3499082805114329,6.019123096180495,5.4633684197685675,6.163184980791433
0.0750625521268,6.51833693026,6.04746704767,5.78677747921,1.4958700842621337,1.611553950700987,Monotonic convergence,Included,0.35460950366330585,6.1279270705898385,5.432167975546695,6.141386982873306
0.0875729774812,6.50202841656,6.02238830794,5.76027825814,1.5282629397977083,1.611553950700987,Monotonic convergence,Included,0.35654174892312374,6.18966190425411,5.403736509216876,6.116820007063123
0.100083402836,6.48571990286,6.00015430239,5.73783062243,1.5567840329015894,1.611553950700987,Monotonic convergence,Included,0.35683234468977715,6.218941759885148,5.380998277740223,6.094662967119777
0.11259382819,6.46629237485,5.97792029685,5.73391329724,1.7512211968658955,1.611553950700987,Monotonic convergence,Included,0.33191662226159013,5.788657851198361,5.40199667497841,6.06582991950159
0.125104253545,6.44529785839,5.9556862913,5.72995791438,1.9512923326859906,1.611553950700987,Monotonic convergence,Included,0.3070526687169965,5.358724676605598,5.422905245663004,6.037010583096996
0.137614678899,6.42529289374,5.93345228575,5.72600253153,2.1727605753241868,1.611553950700987,Monotonic convergence,Included,0.28218871515879884,4.928197527069507,5.443813816371201,6.008191246688798
0.150125104254,6.40528792909,5.91581786353,5.72187469672,2.328311692181877,1.611553950700987,Monotonic convergence,Included,0.2638160419216653,4.610657448910842,5.458058654798334,5.985690738641665
0.162635529608,6.38528296443,5.91224549397,5.71649274508,2.220193179759236,1.611553950700987,Monotonic convergence,Included,0.2662775711919677,4.658058412146927,5.450215173888032,5.982770316271968
0.175145954962,6.36527799978,5.9086659924,5.71111079343,2.10941826610993,1.611553950700987,Monotonic convergence,Included,0.2687293989809443,4.705378843115558,5.442381394449056,5.9798401924109434
0.187656380317,6.34527303513,5.90508649084,5.70572884179,1.9956359251431917,1.611553950700987,Monotonic convergence,Included,0.27118122676992085,4.7527885444490545,5.4345476150200795,5.976910068559921
0.200166805671,6.32526807047,5.90150698927,5.69985611278,1.872534113127364,1.611553950700987,Monotonic convergence,Included,0.27430064673401605,4.8124135295098,5.425555466045984,5.974156759514016
0.212677231026,6.30526310582,5.89792748771,5.69337205888,1.7385752272922503,1.611553950700987,Monotonic convergence,Included,0.2782516366786317,4.887290586334338,5.415120422201368,5.971623695558631
