mesh,station,x [m],solution_time,u_tau [m/s],tau_x/rho [m2/s2],wall_cell_yplus,Re_tau,Darcy_f_from_wall,integrated_Ubulk [m/s],bulk_error [%],max_radial_speed/Ubulk [%],sublayer_RMS_relative [%],log_layer_RMS_uplus,sublayer_samples,log_layer_samples
coarse,expansion_4D,2.6,2454,0.11863372906070008,-0.014073961670847596,1.0442995802595438,592.8073029916619,0.028147923341695188,1.9990541166333735,-0.04729416833132438,0.02963880736585,1.0450319992139785,0.6715309549432305,32,28
coarse,expansion_3D,2.7,2454,0.11879752098105735,-0.014112850991244761,1.0457413957317765,593.6257637053865,0.028225701982489523,1.9990680032023225,-0.04659983988387628,0.029206945302200003,1.06679839628976,0.6732338939323677,32,28
coarse,expansion_2D,2.8,2454,0.11893766236424927,-0.014146167528672158,1.0469750221245708,594.3260437696252,0.028292335057344315,1.9987972843512813,-0.06013578243593276,0.02782152131035,0.9453334526962829,0.6755623679368281,32,28
coarse,contraction_4D,11.2,2454,0.03467618779851253,-0.0012024380002377095,1.114273246598704,346.55064001824917,0.0384780160076067,0.4998305140196798,-0.03389719606403663,0.01115173169568,0.9513638947258648,0.3953568111836888,32,17
coarse,contraction_3D,11.4,2454,0.03477233727779703,-0.0012091154397608727,1.1173628605243515,347.51154909444506,0.03869169407234793,0.49981580389536834,-0.036839220926332406,0.0407322636854,0.9021993898038366,0.4208212788085738,31,17
coarse,contraction_2D,11.6,2454,0.03525035009531151,-0.0012425871818420278,1.1327229460608392,352.2887653446603,0.0397627898189449,0.4998278877837359,-0.03442244325282395,0.16986596200739998,1.0331067082227008,0.5849162326967545,31,18
medium,expansion_4D,2.6,167,0.11497277682731344,-0.013218739411383221,0.6748481047008486,574.5136925906536,0.026437478822766446,1.9995311076686562,-0.02344461656719199,0.02912748635475,0.6914043996245056,0.17966323983253646,42,28
medium,expansion_3D,2.7,167,0.11514188932544533,-0.013257654677433102,0.6758407334472278,575.35873998749,0.026515309354866203,1.9995687840102834,-0.02156079948583134,0.029023841979099997,0.8118184199846532,0.1791332627154395,42,28
medium,expansion_2D,2.8,167,0.11528928871871731,-0.013291620093267759,0.6767059143136424,576.095287995211,0.026583240186535517,1.99949269151453,-0.025365424273504633,0.0277058034549,0.6111963184402783,0.17955422093547244,42,28
medium,contraction_4D,11.2,167,0.03346607317404525,-0.0011199780536905511,0.7171832764953294,334.45686546490657,0.035839297718097636,0.4999261549784833,-0.014769004303338829,0.010685165391380001,0.5929144215127387,0.20961989492215696,40,17
medium,contraction_3D,11.4,167,0.03353503168860955,-0.0011245983503560468,0.7186610632232971,335.14603053391085,0.0359871472113935,0.4999185180807439,-0.016296383851222007,0.0394842827578,0.621111810927044,0.19620895814715975,40,17
medium,contraction_2D,11.6,167,0.033978405751943136,-0.0011545320574436826,0.7281625862145573,339.5770702522485,0.03694502583819784,0.49990819687313187,-0.018360625373625705,0.1536391113034,0.7307103321273162,0.052034888886317666,40,17
fine,expansion_4D,2.6,131,0.11374209199185355,-0.012937263490683274,0.44514120697188186,568.3640169131029,0.02587452698136655,1.9996965306094994,-0.015173469525031624,0.027091421304049998,0.5218162652552917,0.27282083696168796,50,28
fine,expansion_3D,2.7,131,0.11391208793891452,-0.012975963778602995,0.4458065035459176,569.2134788637188,0.025951927557205993,1.9996414166600183,-0.017929166999086643,0.0267664772615,0.3783784779327647,0.26622579250084605,50,28
fine,expansion_2D,2.8,131,0.11406272114369079,-0.013010304354703366,0.44639602190336014,569.9661860792082,0.026020608709406732,1.9996825274128829,-0.0158736293558559,0.02537585008025,0.4638347921375796,0.26141163945292284,50,28
fine,contraction_4D,11.2,131,0.033164026612615964,-0.0010998526611622997,0.47392037010902266,331.43823983665567,0.0351952851571936,0.4999520534133882,-0.009589317322356017,0.01016890010846,0.571331224274715,0.3748727383397108,48,16
fine,contraction_3D,11.4,131,0.033234027377805994,-0.0011045005757487586,0.47492069389230335,332.13782106280803,0.03534401842396027,0.4999440001163556,-0.011199976728881733,0.0385564495674,0.6043755612994974,0.3578460914524586,48,16
fine,contraction_2D,11.6,131,0.03361139292154521,-0.0011297257341264994,0.48031330742496364,335.9091776912685,0.03615122349204799,0.49994209618424185,-0.011580763151630702,0.1469193480178,0.6993346390134444,0.22249683862307387,48,17
