mesh,station,x [m],solution_time,u_tau [m/s],tau_x/rho [m2/s2],wall_cell_yplus,Re_tau,Darcy_f_from_wall,integrated_Ubulk [m/s],bulk_error [%],max_radial_speed/Ubulk [%],sublayer_RMS_relative [%],log_layer_RMS_uplus,sublayer_samples,log_layer_samples
coarse,expansion_4D,2.6,10000,0.1197130411503265,-0.014331212221459763,1.05368076584529,598.2005760009791,0.02866242444291953,1.9987061622788822,-0.06469188605588982,0.030238703999999998,1.2730745701541473,0.8521023414413316,32,29
coarse,expansion_3D,2.7,10000,0.1198735255796704,-0.014369662134899895,1.0550933024926417,599.0025093338077,0.02873932426979979,1.9990179765441891,-0.04910117279054438,0.029446700000000003,1.7227916217478254,0.8504843560172559,32,29
coarse,expansion_2D,2.8,10000,0.12000864374137721,-0.014402074572644794,1.0562826068337188,599.677688590675,0.02880414914528959,1.9989348982088586,-0.05325508955706937,0.027757173000000003,1.630694468504508,0.8504442304506266,32,29
coarse,contraction_4D,11.2,10000,0.03289828093262556,-0.0010822968883219548,1.0571455470512936,328.7824018876321,0.034633500426302546,0.4997083491907532,-0.05833016184936257,0.005932464,1.6095522015747366,0.680512392266133,33,16
coarse,contraction_3D,11.4,10000,0.0329039809665084,-0.0010826719634443472,1.057328671411043,328.83936750339416,0.0346455028302191,0.4997294962067926,-0.05410075864148434,0.0054726228,1.7296746499375109,0.6783064638914764,33,16
coarse,contraction_2D,11.6,10000,0.03290772162409963,-0.0010829181424892342,1.0574488557797856,328.87675129223106,0.03465338055965549,0.49970571363302735,-0.058857273394530285,0.0047306935999999996,1.5955038508190313,0.6782165222395199,33,16
